loan_id,orig_balance,current_balance,coupon,fico,ltv,dti,seasoning_mo,remaining_term_mo,state,property_type,originator,servicer,base_cpr,base_cdr
L100000,270127.94,259045.88,6.7,690,77.0,37.8,42,318,NY,SFR,Meridian Home Loans,Pier Asset Mgmt,0.07499999999999998,0.00982
L100001,168721.64,163539.79,7.513,678,84.7,35.6,37,323,AZ,SFR,Highline Capital,Northgate Servicing,0.06,0.011643333333333334
L100002,315734.81,307167.0,7.494,739,77.3,42.9,33,327,WA,Multifamily,Apex Funding,Northgate Servicing,0.06,0.008
L100003,337458.44,333309.77,5.994,729,97.0,40.9,12,348,FL,SFR,Meridian Home Loans,Summit Loan Servicing,0.08012,0.008126666666666667
L100004,122655.84,119103.27,6.575,638,91.2,12.1,30,330,NC,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.07125,0.014726666666666667
L100005,153927.53,129137.16,4.722,777,70.3,40.4,39,141,TX,SFR,Highline Capital,Pier Asset Mgmt,0.1739,0.008
L100006,253912.28,252984.67,6.489,710,70.2,28.0,4,356,NY,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.06340666666666667,0.008
L100007,217361.05,210319.52,5.685,654,79.6,24.6,9,171,NC,SFR,Coastal Mortgage Co,Northgate Servicing,0.06972500000000001,0.012799999999999999
L100008,241378.04,235259.67,6.232,780,63.9,34.5,25,335,FL,2-4 Unit,Meridian Home Loans,Northgate Servicing,0.092,0.008
L100009,180130.1,176245.48,4.883,749,88.0,39.3,17,343,FL,SFR,Meridian Home Loans,Summit Loan Servicing,0.11998166666666665,0.008
L100010,330310.79,319714.78,6.764,645,78.3,22.9,34,326,NY,SFR,Highline Capital,Summit Loan Servicing,0.06179999999999999,0.013456666666666665
L100011,318770.66,311042.13,4.873,813,77.1,41.6,19,341,TX,SFR,Highline Capital,Summit Loan Servicing,0.127355,0.008
L100012,248478.29,236560.79,6.533,751,82.2,42.1,47,313,NC,SFR,Meridian Home Loans,Summit Loan Servicing,0.08334999999999998,0.008
L100013,360243.12,353904.41,5.296,714,94.7,36.4,15,345,TX,SFR,Apex Funding,Summit Loan Servicing,0.1026,0.009096666666666666
L100014,285966.02,280579.14,5.635,802,76.1,29.1,17,343,NY,SFR,Apex Funding,Summit Loan Servicing,0.09867500000000001,0.008
L100015,179736.58,179601.56,7.439,724,72.6,28.2,1,359,NY,SFR,Highline Capital,Northgate Servicing,0.06,0.008
L100016,276250.34,273405.55,6.929,713,92.1,44.2,12,348,WA,Condo,Apex Funding,Northgate Servicing,0.061419999999999995,0.009456666666666667
L100017,173579.52,171958.63,7.434,679,85.6,23.9,12,348,WA,SFR,Highline Capital,Summit Loan Servicing,0.06,0.010853333333333333
L100018,330201.25,320884.28,7.804,747,70.1,44.5,36,324,CA,Condo,Meridian Home Loans,Summit Loan Servicing,0.06,0.008
L100019,238595.74,234428.53,5.704,741,74.1,34.7,16,344,TX,SFR,Meridian Home Loans,Northgate Servicing,0.09456,0.008
L100020,227589.35,225935.22,7.749,716,76.3,35.2,10,350,AZ,2-4 Unit,Coastal Mortgage Co,Pier Asset Mgmt,0.06,0.008
L100021,191314.64,180328.73,5.081,672,78.3,22.3,15,165,FL,Multifamily,Coastal Mortgage Co,Pier Asset Mgmt,0.10797499999999999,0.010716666666666666
L100022,372461.69,363678.94,7.071,722,57.7,34.8,27,333,NC,SFR,Highline Capital,Pier Asset Mgmt,0.06,0.008
L100023,230018.42,220664.99,5.956,711,55.5,40.9,37,323,WA,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.11219999999999998,0.008
L100024,208999.11,197158.3,5.563,642,63.4,25.3,47,313,TX,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.12185000000000003,0.012426666666666666
L100025,214647.68,214111.84,6.953,634,62.4,40.0,3,357,WA,2-4 Unit,Apex Funding,Summit Loan Servicing,0.050234999999999995,0.014106666666666667
L100026,292525.82,282235.4,7.25,746,66.3,36.7,40,320,CA,SFR,Highline Capital,Summit Loan Servicing,0.06,0.008
L100027,275930.81,271589.31,7.224,580,81.6,30.8,19,341,FL,SFR,Meridian Home Loans,Summit Loan Servicing,0.049999999999999996,0.020813333333333333
L100028,280535.74,270042.93,6.593,726,72.0,42.8,38,322,GA,SFR,Apex Funding,Summit Loan Servicing,0.08035,0.008
L100029,282317.43,281807.49,6.519,689,76.4,18.4,2,358,OH,SFR,Coastal Mortgage Co,Northgate Servicing,0.06160333333333333,0.008566666666666667
L100030,513793.47,460318.09,6.874,787,59.3,38.8,30,150,GA,Condo,Meridian Home Loans,Summit Loan Servicing,0.06630000000000001,0.008
L100031,210608.19,176639.23,6.673,688,68.5,49.0,44,136,TX,SFR,Highline Capital,Pier Asset Mgmt,0.07635,0.009916666666666667
L100032,202950.02,202608.85,6.887,751,81.0,47.5,2,358,FL,2-4 Unit,Highline Capital,Pier Asset Mgmt,0.06037666666666667,0.008
L100033,182623.06,175781.45,6.584,693,81.1,39.1,38,322,AZ,2-4 Unit,Meridian Home Loans,Northgate Servicing,0.08080000000000001,0.010016666666666667
L100034,301218.98,295510.84,7.159,721,65.3,33.6,6,174,GA,SFR,Highline Capital,Summit Loan Servicing,0.06,0.008
L100035,360461.45,337788.51,4.936,756,75.9,30.9,47,313,CA,SFR,Apex Funding,Pier Asset Mgmt,0.1632,0.008
L100036,233308.85,224882.03,6.282,690,97.0,33.6,35,325,GA,2-4 Unit,Apex Funding,Summit Loan Servicing,0.0959,0.01154
L100037,180944.43,170990.75,5.155,770,73.8,40.4,43,317,IL,2-4 Unit,Coastal Mortgage Co,Pier Asset Mgmt,0.15225,0.008
L100038,181939.88,174206.29,6.649,660,65.7,29.5,43,317,CA,2-4 Unit,Coastal Mortgage Co,Pier Asset Mgmt,0.07755,0.011136666666666666
L100039,304890.35,301596.16,7.878,731,71.9,42.1,15,345,FL,Multifamily,Meridian Home Loans,Summit Loan Servicing,0.06,0.008
L100040,314940.48,292173.87,5.973,766,75.1,53.1,20,160,WA,SFR,Meridian Home Loans,Summit Loan Servicing,0.09423333333333334,0.008
L100041,293638.29,284100.76,6.515,751,72.2,35.5,33,327,AZ,Condo,Meridian Home Loans,Pier Asset Mgmt,0.08425000000000002,0.008
L100042,192349.94,186796.82,7.081,820,73.6,25.2,9,171,CA,Condo,Apex Funding,Pier Asset Mgmt,0.06,0.008
L100043,263354.54,247584.81,4.539,673,56.7,25.2,15,165,CA,SFR,Meridian Home Loans,Northgate Servicing,0.12152500000000001,0.00865
L100044,252922.91,251634.36,5.93,639,62.4,42.2,5,355,NY,SFR,Apex Funding,Summit Loan Servicing,0.058916666666666666,0.013753333333333333
L100045,262115.63,251415.72,6.728,660,72.2,35.5,42,318,IL,SFR,Apex Funding,Northgate Servicing,0.07360000000000001,0.012186666666666667
L100046,329390.77,312768.32,3.793,751,72.0,43.0,12,168,IL,SFR,Coastal Mortgage Co,Northgate Servicing,0.12000000000000001,0.008
L100047,262566.18,256583.7,5.521,742,67.2,31.7,20,340,NC,SFR,Meridian Home Loans,Summit Loan Servicing,0.1093,0.008
L100048,307927.53,302442.84,7.391,721,71.9,42.6,22,338,TX,Condo,Apex Funding,Pier Asset Mgmt,0.06,0.008
L100049,248612.98,234127.63,7.303,653,74.7,34.7,18,162,CA,Condo,Highline Capital,Northgate Servicing,0.049999999999999996,0.013083333333333336
L100050,268657.28,259150.36,6.737,757,84.7,30.1,37,323,NC,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.07314999999999999,0.008
L100051,302837.27,291159.43,7.194,648,72.8,32.8,43,317,OH,SFR,Highline Capital,Pier Asset Mgmt,0.049999999999999996,0.013266666666666668
L100052,145800.64,142044.97,6.594,779,78.8,26.4,27,333,TX,SFR,Coastal Mortgage Co,Northgate Servicing,0.07826999999999998,0.008
L100053,217100.37,208963.94,6.9,820,67.5,51.9,40,320,NY,SFR,Meridian Home Loans,Northgate Servicing,0.06499999999999997,0.008
L100054,205946.06,204727.55,6.116,735,80.9,35.2,6,354,NC,SFR,Apex Funding,Northgate Servicing,0.06884,0.008
L100055,194151.25,185017.01,6.504,747,78.5,41.2,46,314,TX,SFR,Highline Capital,Summit Loan Servicing,0.08480000000000001,0.008
L100056,220510.42,219133.52,5.831,688,84.4,31.7,6,354,OH,2-4 Unit,Highline Capital,Summit Loan Servicing,0.07168999999999999,0.010353333333333334
L100057,409720.07,408501.35,7.537,615,82.6,27.6,4,356,FL,SFR,Highline Capital,Summit Loan Servicing,0.049999999999999996,0.0172
L100058,179325.72,179072.74,7.769,682,81.1,34.1,2,358,GA,SFR,Meridian Home Loans,Summit Loan Servicing,0.06,0.010783333333333332
L100059,340747.64,337692.73,7.642,655,72.8,44.8,12,348,NY,2-4 Unit,Meridian Home Loans,Northgate Servicing,0.049999999999999996,0.013366666666666666
L100060,134725.62,128837.07,6.033,635,76.9,31.8,40,320,NC,SFR,Apex Funding,Northgate Servicing,0.09834999999999998,0.01491
L100061,215947.42,212313.82,5.542,810,86.8,29.0,15,345,TX,2-4 Unit,Highline Capital,Pier Asset Mgmt,0.09645000000000001,0.008
L100062,257033.98,248953.99,7.549,730,66.2,37.2,38,322,CA,SFR,Highline Capital,Pier Asset Mgmt,0.06,0.008
L100063,298098.07,292822.03,6.89,736,66.5,40.0,20,340,GA,SFR,Coastal Mortgage Co,Northgate Servicing,0.06366666666666668,0.008
L100064,311429.82,310059.7,6.696,698,76.2,49.1,5,355,OH,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.06253333333333333,0.009693333333333335
L100065,320510.89,312511.17,5.83,705,79.0,38.8,23,337,NC,SFR,Apex Funding,Summit Loan Servicing,0.10485,0.008586666666666666
L100066,214903.9,212823.57,6.783,768,64.1,41.2,11,349,AZ,Multifamily,Highline Capital,Summit Loan Servicing,0.06397833333333333,0.008
L100067,206525.03,203218.12,5.423,713,73.1,41.8,14,346,IL,Condo,Meridian Home Loans,Summit Loan Servicing,0.09679666666666667,0.008
L100068,327843.47,320593.99,6.971,744,72.9,26.8,25,335,TX,SFR,Highline Capital,Summit Loan Servicing,0.06120833333333333,0.008
L100069,227076.78,220058.84,7.641,704,47.4,28.3,38,322,IL,SFR,Highline Capital,Pier Asset Mgmt,0.06,0.008
L100070,155361.48,152082.42,7.868,696,71.4,27.3,28,332,WA,Multifamily,Meridian Home Loans,Northgate Servicing,0.06,0.008
L100071,163300.85,161795.81,7.038,638,72.1,25.3,11,349,AZ,SFR,Highline Capital,Pier Asset Mgmt,0.049999999999999996,0.013696666666666666
L100072,175991.63,168488.22,5.156,606,72.1,42.4,34,326,AZ,SFR,Apex Funding,Summit Loan Servicing,0.1422,0.018036666666666666
L100073,288949.23,279670.38,6.578,701,91.0,38.3,33,327,NY,Multifamily,Highline Capital,Summit Loan Servicing,0.08109999999999998,0.010153333333333334
