period,scheduled_principal,prepayment,interest_collected,loss,ending_balance
1,452104.05,4531585.08,2600460.97,203317.12,483698025.7
2,450102.83,4488881.99,2572870.42,201555.93,478557484.95
3,448105.03,4447256.0,2545527.02,199896.49,473462227.43
4,446109.89,4407754.79,2518424.5,198272.67,468410090.07
5,444115.69,4371054.35,2491551.34,196671.4,463398248.63
6,442120.03,4337189.1,2464892.52,195056.12,458423883.38
7,440120.46,4302090.42,2438433.04,193183.24,453488489.26
8,438118.61,4255750.5,2412180.86,191103.43,448603516.71
9,436125.87,4209884.1,2386196.87,189044.87,443768461.87
10,434142.19,4164486.49,2360478.41,187007.34,438982825.85
11,432167.53,4119552.99,2335022.81,184990.64,434246114.7
12,430201.85,4075078.94,2309827.46,182994.55,429557839.36
13,428245.1,4031059.77,2284889.74,181018.88,424917515.6
14,426297.25,3987490.92,2260207.09,179063.41,420324664.02
15,424358.26,3944367.9,2235776.94,177127.95,415778809.91
16,422428.09,3901686.23,2211596.79,175212.29,411279483.3
17,420506.69,3859441.51,2187664.12,173316.24,406826218.86
18,418594.02,3817629.37,2163976.46,171439.6,402418555.86
19,416690.06,3776245.48,2140531.37,169582.18,398056038.15
20,414794.74,3735285.56,2117326.41,167743.78,393738214.06
21,412908.05,3694745.36,2094359.18,165924.22,389464636.43
22,411029.94,3654620.68,2071627.31,164123.3,385234862.51
23,409160.36,3614907.37,2049128.44,162340.84,381048453.93
24,407299.29,3575601.31,2026860.23,160576.66,376904976.67
25,405446.67,3536698.42,2004820.39,158830.57,372804001.0
26,403602.49,3498194.67,1983006.62,157102.39,368745101.46
27,401766.68,3460086.06,1961416.65,155391.94,364727856.78
28,399939.22,3422368.63,1940048.26,153699.04,360751849.89
29,398120.07,3385038.47,1918899.21,152023.52,356816667.82
30,396309.2,3348091.7,1897967.33,150365.2,352921901.72
31,394506.55,3311524.47,1877250.42,148723.92,349067146.78
32,392712.1,3275332.99,1856746.33,147099.5,345252002.18
33,390925.82,3239513.5,1836452.94,145491.77,341476071.1
34,389147.65,3204062.26,1816368.13,143900.56,337738960.63
35,387377.57,3168975.58,1796489.82,142325.72,334040281.77
36,385615.53,3134249.81,1776815.93,140767.07,330379649.36
