period,tranche,beginning_balance_note,principal_paid,interest_paid,ending_balance
1.0,A (Senior),,4983689.13,1747763.99,376346635.79
1.0,M (Mezz),,0.0,364216.01,68443904.47
1.0,B (Subordinate),,0.0,207041.5,38907485.44
2.0,A (Senior),,4938984.82,1724922.08,371407650.97
2.0,M (Mezz),,0.0,364216.3,68443904.47
2.0,B (Subordinate),,0.0,205969.12,38705929.51
3.0,A (Senior),,4895361.03,1702285.07,366512289.94
3.0,M (Mezz),,0.0,364216.67,68443904.47
3.0,B (Subordinate),,0.0,204905.6,38506033.02
4.0,A (Senior),,4853864.68,1679848.0,361658425.26
4.0,M (Mezz),,0.0,364217.06,68443904.47
4.0,B (Subordinate),,0.0,203850.73,38307760.35
5.0,A (Senior),,4815170.04,1657601.12,356843255.22
5.0,M (Mezz),,0.0,364217.46,68443904.47
5.0,B (Subordinate),,0.0,202804.39,38111088.95
6.0,A (Senior),,4779309.13,1635531.59,352063946.09
6.0,M (Mezz),,0.0,364217.84,68443904.47
6.0,B (Subordinate),,0.0,201766.63,37916032.83
7.0,A (Senior),,4742210.88,1613626.42,347321735.21
7.0,M (Mezz),,0.0,364218.02,68443904.47
7.0,B (Subordinate),,0.0,200738.72,37722849.59
8.0,A (Senior),,4693869.11,1591891.29,342627866.1
8.0,M (Mezz),,0.0,364218.02,68443904.47
8.0,B (Subordinate),,0.0,199721.78,37531746.16
9.0,A (Senior),,4646009.97,1570377.72,337981856.13
9.0,M (Mezz),,0.0,364218.02,68443904.47
9.0,B (Subordinate),,0.0,198715.79,37342701.29
10.0,A (Senior),,4598628.68,1549083.51,333383227.45
10.0,M (Mezz),,0.0,364218.02,68443904.47
10.0,B (Subordinate),,0.0,197720.65,37155693.95
11.0,A (Senior),,4551720.52,1528006.46,328831506.93
11.0,M (Mezz),,0.0,364218.02,68443904.47
11.0,B (Subordinate),,0.0,196736.24,36970703.31
12.0,A (Senior),,4505280.79,1507144.41,324326226.14
12.0,M (Mezz),,0.0,364218.02,68443904.47
